Time,MIDI_Note,Note_Label,Pitch,Power,Spectral_Centroid
0.0,28,E1,0.0,0.00017065633437596262,3866.4809966662824
0.0,28,E1,0.0,0.00017065633437596262,3866.4809966662824
0.0,28,E1,0.0,0.00017065633437596262,3866.4809966662824
0.0,54,F#3,0.0,0.00017065633437596262,3866.4809966662824
0.0,52,E3,0.0,0.00017065633437596262,3866.4809966662824
0.0,59,B3,0.0,0.00017065633437596262,3866.4809966662824
0.0,64,E4,0.0,0.00017065633437596262,3866.4809966662824
0.0,66,F#4,0.0,0.00017065633437596262,3866.4809966662824
0.0,52,E3,0.0,0.00017065633437596262,3866.4809966662824
0.0,40,E2,0.0,0.00017065633437596262,3866.4809966662824
0.0,59,B3,0.0,0.00017065633437596262,3866.4809966662824
0.0,64,E4,0.0,0.00017065633437596262,3866.4809966662824
0.0,66,F#4,0.0,0.00017065633437596262,3866.4809966662824
0.125,59,B3,0.0,0.1197282001376152,552.5973310162703
0.125,40,E2,0.0,0.1197282001376152,552.5973310162703
0.125,64,E4,0.0,0.1197282001376152,552.5973310162703
0.125,66,F#4,0.0,0.1197282001376152,552.5973310162703
0.25,40,E2,988.5481567382812,0.03334067761898041,675.9160848988845
0.25,40,E2,988.5481567382812,0.03334067761898041,675.9160848988845
0.25,40,E2,988.5481567382812,0.03334067761898041,675.9160848988845
0.25,40,E2,988.5481567382812,0.03334067761898041,675.9160848988845
0.25,40,E2,988.5481567382812,0.03334067761898041,675.9160848988845
0.25,59,B3,988.5481567382812,0.03334067761898041,675.9160848988845
0.25,64,E4,988.5481567382812,0.03334067761898041,675.9160848988845
0.25,66,F#4,988.5481567382812,0.03334067761898041,675.9160848988845
0.375,40,E2,1156.526611328125,0.024408768862485886,993.543611764569
0.375,59,B3,1156.526611328125,0.024408768862485886,993.543611764569
0.375,64,E4,1156.526611328125,0.024408768862485886,993.543611764569
0.375,66,F#4,1156.526611328125,0.024408768862485886,993.543611764569
0.5,35,B1,993.37109375,0.027836406603455544,1194.6950310814375
0.5,35,B1,993.37109375,0.027836406603455544,1194.6950310814375
0.5,35,B1,993.37109375,0.027836406603455544,1194.6950310814375
0.5,35,B1,993.37109375,0.027836406603455544,1194.6950310814375
0.5,54,F#3,993.37109375,0.027836406603455544,1194.6950310814375
0.5,52,E3,993.37109375,0.027836406603455544,1194.6950310814375
0.5,40,E2,993.37109375,0.027836406603455544,1194.6950310814375
0.5,59,B3,993.37109375,0.027836406603455544,1194.6950310814375
0.5,64,E4,993.37109375,0.027836406603455544,1194.6950310814375
0.5,66,F#4,993.37109375,0.027836406603455544,1194.6950310814375
0.625,40,E2,903.8211669921875,0.02960394322872162,1054.6025751976454
0.625,59,B3,903.8211669921875,0.02960394322872162,1054.6025751976454
0.625,64,E4,903.8211669921875,0.02960394322872162,1054.6025751976454
0.625,66,F#4,903.8211669921875,0.02960394322872162,1054.6025751976454
0.75,38,D2,377.4869384765625,0.03735949099063873,983.1158456997657
0.75,38,D2,377.4869384765625,0.03735949099063873,983.1158456997657
0.75,38,D2,377.4869384765625,0.03735949099063873,983.1158456997657
0.75,38,D2,377.4869384765625,0.03735949099063873,983.1158456997657
0.75,40,E2,377.4869384765625,0.03735949099063873,983.1158456997657
0.75,59,B3,377.4869384765625,0.03735949099063873,983.1158456997657
0.75,64,E4,377.4869384765625,0.03735949099063873,983.1158456997657
0.75,66,F#4,377.4869384765625,0.03735949099063873,983.1158456997657
0.875,40,E2,266.4401550292969,0.03450053185224533,1203.736546680303
0.875,59,B3,266.4401550292969,0.03450053185224533,1203.736546680303
0.875,64,E4,266.4401550292969,0.03450053185224533,1203.736546680303
0.875,66,F#4,266.4401550292969,0.03450053185224533,1203.736546680303
1.0,28,E1,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,28,E1,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,28,E1,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,28,E1,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,54,F#3,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,52,E3,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,40,E2,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,59,B3,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,64,E4,1124.5379638671875,0.03503144159913063,1032.2252420398731
1.0,66,F#4,1124.5379638671875,0.03503144159913063,1032.2252420398731
